02-10-2021 01:27:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:27:07 Se graban todos los datos correctamente
02-10-2021 01:27:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:27:37 Se graban todos los datos correctamente
02-10-2021 01:28:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:28:07 Se graban todos los datos correctamente
02-10-2021 01:28:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:28:37 Se graban todos los datos correctamente
02-10-2021 01:29:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:29:07 Se graban todos los datos correctamente
02-10-2021 01:29:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:29:37 Se graban todos los datos correctamente
02-10-2021 01:30:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:30:07 Se graban todos los datos correctamente
02-10-2021 01:30:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:30:37 Se graban todos los datos correctamente
02-10-2021 01:31:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:31:07 Se graban todos los datos correctamente
02-10-2021 01:31:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:31:37 Se graban todos los datos correctamente
02-10-2021 01:32:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:32:07 Se graban todos los datos correctamente
02-10-2021 01:32:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:32:37 Se graban todos los datos correctamente
02-10-2021 01:33:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:33:07 Se graban todos los datos correctamente
02-10-2021 01:33:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:33:37 Se graban todos los datos correctamente
02-10-2021 01:34:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:34:07 Se graban todos los datos correctamente
02-10-2021 01:34:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:34:37 Se graban todos los datos correctamente
02-10-2021 01:35:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:35:07 Se graban todos los datos correctamente
02-10-2021 01:35:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:35:37 Se graban todos los datos correctamente
02-10-2021 01:36:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:36:07 Se graban todos los datos correctamente
02-10-2021 01:36:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:36:37 Se graban todos los datos correctamente
02-10-2021 01:37:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:37:07 Se graban todos los datos correctamente
02-10-2021 01:37:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:37:37 Se graban todos los datos correctamente
02-10-2021 01:38:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:38:07 Se graban todos los datos correctamente
02-10-2021 01:38:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:38:37 Se graban todos los datos correctamente
02-10-2021 01:39:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:39:07 Se graban todos los datos correctamente
