fecha;pm25;pm10;co2;humedad;temperatura;t_terabee;presencia; 
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:46:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:46:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:47:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:47:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:48:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:48:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:49:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:49:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:50:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:50:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:51:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:51:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:52:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:52:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:53:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:53:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:54:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:54:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:55:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:55:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:56:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:56:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:57:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:57:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:58:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:58:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:59:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:59:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:00:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:00:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:01:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:01:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:02:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:02:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:03:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:03:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:04:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:04:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:05:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:05:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:06:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:06:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:07:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:07:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:08:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:08:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:09:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:09:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:10:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:10:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:11:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:11:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:12:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:12:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:13:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:13:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:14:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:14:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:15:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:15:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:16:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:16:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:17:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:17:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:18:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:18:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:19:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:19:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:20:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:20:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:21:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:21:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:22:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:22:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:23:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:23:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:24:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:24:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:25:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:25:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:26:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:26:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:27:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:27:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:28:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:28:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:29:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:29:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:30:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:30:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:31:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:31:15;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 05:32:15;-1.0;
